;URL;Identifier
;https://learning.sap.com/learning-journeys/discovering-sap-activate-implementation-tools-and-methodology/describing-the-3-pillars-of-sap-activate;Describing the 3 Pillars of SAP Activate
;https://learning.sap.com/learning-journeys/discovering-sap-activate-implementation-tools-and-methodology/describing-sap-activate;Describing SAP Activate
